query-id	corpus-id	score
genQ1	0	1
genQ2	0	1
genQ3	0	1
genQ4	1	1
genQ5	1	1
genQ6	1	1
genQ7	2	1
genQ8	2	1
genQ9	2	1
genQ10	3	1
genQ11	3	1
genQ12	3	1
genQ13	4	1
genQ14	4	1
genQ15	4	1
genQ16	5	1
genQ17	5	1
genQ18	5	1
genQ19	6	1
genQ20	6	1
genQ21	6	1
genQ22	7	1
genQ23	7	1
genQ24	7	1
genQ25	8	1
genQ26	8	1
genQ27	8	1
genQ28	9	1
genQ29	9	1
genQ30	9	1
genQ31	10	1
genQ32	10	1
genQ33	10	1
genQ34	11	1
genQ35	11	1
genQ36	11	1
genQ37	12	1
genQ38	12	1
genQ39	12	1
genQ40	13	1
genQ41	13	1
genQ42	13	1
genQ43	14	1
genQ44	14	1
genQ45	14	1
genQ46	15	1
genQ47	15	1
genQ48	15	1
genQ49	16	1
genQ50	16	1
genQ51	16	1
genQ52	17	1
genQ53	17	1
genQ54	17	1
genQ55	18	1
genQ56	18	1
genQ57	18	1
genQ58	19	1
genQ59	19	1
genQ60	19	1
